time,open,high,low,close,volume
2026-04-15T03:39:00Z,74259.0,74285.07,74242.01,74270.42,2.3901205599999997
2026-04-15T03:42:00Z,74271.98,74274.91,74254.04,74270.97,1.45210806
2026-04-15T03:45:00Z,74270.98,74314.28,74253.37,74293.99,3.30120514
2026-04-15T03:48:00Z,74293.99,74341.51,74292.63,74312.01,2.85936376
2026-04-15T03:51:00Z,74312.18,74331.96,74308.0,74316.0,1.2527409299999999
2026-04-15T03:54:00Z,74314.07,74383.39,74314.07,74376.4,10.610829469999999
2026-04-15T03:57:00Z,74376.39,74402.0,74370.03,74376.75,10.11313646
2026-04-15T04:00:00Z,74376.75,74468.0,74369.99,74462.01,3.11030385
2026-04-15T04:03:00Z,74462.01,74478.06,74426.0,74435.71,4.69140028
2026-04-15T04:06:00Z,74434.6,74446.19,74383.19,74383.21,4.3997782
2026-04-15T04:09:00Z,74383.21,74403.11,74382.08,74398.0,2.59189879
2026-04-15T04:12:00Z,74397.07,74407.81,74375.42,74376.03,5.87385158
2026-04-15T04:15:00Z,74376.03,74439.11,74361.25,74386.25,5.06432596
2026-04-15T04:18:00Z,74386.26,74427.88,74336.47,74346.19,9.333837639999999
2026-04-15T04:21:00Z,74346.19,74368.99,74337.92,74337.99,1.16079443
2026-04-15T04:24:00Z,74337.99,74374.22,74332.94,74360.62,2.55947616
2026-04-15T04:27:00Z,74360.62,74365.54,74329.8,74358.01,10.682920079999999
2026-04-15T04:30:00Z,74358.01,74375.14,74349.5,74349.51,8.46113491
2026-04-15T04:33:00Z,74349.51,74445.01,74297.52,74391.25,8.29410015
2026-04-15T04:36:00Z,74391.25,74408.98,74343.79,74359.48,3.05566826
2026-04-15T04:39:00Z,74359.48,74400.18,74336.46,74380.01,3.2345959
2026-04-15T04:42:00Z,74380.01,74424.95,74366.0,74374.2,9.5623042
2026-04-15T04:45:00Z,74374.19,74374.2,74324.0,74341.71,4.52045201
2026-04-15T04:48:00Z,74341.72,74382.0,74294.01,74372.64,7.25482847
2026-04-15T04:51:00Z,74372.58,74382.48,74343.56,74379.39,2.52571387
2026-04-15T04:54:00Z,74379.4,74388.73,74329.39,74334.15,5.9086019499999995
2026-04-15T04:57:00Z,74334.15,74394.39,74334.15,74372.02,8.07647203
2026-04-15T05:00:00Z,74369.99,74474.97,74365.72,74439.13,12.60976733
2026-04-15T05:03:00Z,74439.13,74465.38,74343.54,74347.16,8.56829391
2026-04-15T05:06:00Z,74347.17,74347.17,74240.88,74279.18,6.04219178
2026-04-15T05:09:00Z,74279.18,74307.99,74252.21,74276.29,5.99812058
2026-04-15T05:12:00Z,74276.29,74294.91,74227.04,74236.0,12.87436396
2026-04-15T05:15:00Z,74236.0,74271.63,74223.38,74255.0,2.9585855199999997
2026-04-15T05:18:00Z,74254.08,74271.09,74243.08,74246.24,1.20005528
2026-04-15T05:21:00Z,74244.08,74246.15,74129.65,74148.85,9.441806960000001
2026-04-15T05:24:00Z,74148.84,74177.15,74090.0,74090.0,6.7637806099999995
2026-04-15T05:27:00Z,74089.19,74107.99,74021.5,74042.43,19.483050900000002
2026-04-15T05:30:00Z,74042.43,74070.96,73988.0,73991.02,13.15666319
2026-04-15T05:33:00Z,73991.03,74061.32,73991.0,74036.8,12.37681808
